countwords_seq.cpp      : 1 
d                       : 1 
define                  : 1 
defined                 : 1 
definitely              : 1 
destination             : 1 
directories             : 1 
directory               : 1 
dirs                    : 1 
disable                 : 1 
else                    : 1 
enable                  : 1 
enable_asan             : 1 
enable_msan             : 1 
enable_pvs_studio       : 1 
enable_tsan             : 1 
enable_ubsan            : 1 
error_codes.hpp         : 1 
errors                  : 1 
every                   : 1 
exit                    : 1 
external                : 1 
files                   : 1 
first                   : 1 
fixed                   : 1 
free                    : 1 
g                       : 1 
grading                 : 1 
grape                   : 1 
have                    : 1 
headers                 : 1 
homebrew                : 1 
i18n                    : 1 
icu                     : 1 
icu4c                   : 1 
imported                : 1 
include_directories     : 1 
indexing_extensions     : 1 
indir                   : 1 
install                 : 1 
intentionally           : 1 
keg                     : 1 
kiwi                    : 1 
leaks                   : 1 
libarchive_include_dirs : 1 
libarchive_libraries    : 1 
libicui18n.dylib        : 1 
libicuuc.dylib          : 1 
libraries               : 1 
library                 : 1 
like                    : 1 
line                    : 1 
list                    : 1 
macos                   : 1 
manually                : 1 
many                    : 1 
max_file_size           : 1 
move                    : 1 
msan                    : 1 
much                    : 1 
note                    : 1 
options_parser.cpp      : 1 
options_parser.h        : 1 
orange                  : 1 
otherwise               : 1 
out_by_a                : 1 
out_by_n                : 1 
overflows               : 1 
parser.cpp              : 1 
parser.hpp              : 1 
path                    : 1 
pineapple               : 1 
pok                     : 1 
practice                : 1 
prepend                 : 1 
problems                : 1 
processpaths.cpp        : 1 
processpaths.hpp        : 1 
production              : 1 
programs                : 1 
project's               : 1 
projects                : 1 
races                   : 1 
reads                   : 1 
requires                : 1 
res_a.txt               : 1 
res_n.txt               : 1 
scope                   : 1 
select                  : 1 
setup                   : 1 
ships                   : 1 
sometimes               : 1 
source                  : 1 
specified               : 1 
students                : 1 
studio                  : 1 
submitting              : 1 
symbols                 : 1 
target_file             : 1 
template                : 1 
test_data               : 1 
thread                  : 1 
threadsanitizer         : 1 
threadsanitizer.html    : 1 
trouble                 : 1 
tsan                    : 1 
txt                     : 1 
ubsan                   : 1 
uc                      : 1 
undefinedbehaviorsanitizer: 1 
undefinedbehaviorsanitizer.html: 1 
uninitialized           : 1 
used                    : 1 
user                    : 1 
using                   : 1 
variable                : 1 
variables               : 1 
warnings                : 1 
writetofile.cpp         : 1 
writetofile.hpp         : 1 
zip                     : 1 
